"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal ","Descripcio_dia_setmana","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_mediata","Coordenada_UTM_X_ED50","Coordenada_UTM_Y_ED50","Longitud_WGS84","Latitud_WGS84"
"2023S000828    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",331507,"Tarragona","0074 0076","Divendres","2023",2,"Febrer","10","21","Tarda","Gir indegut o sense precaució","428769.74 ","4581177.12","2.147049191","41.377115564"
"2023S005731    ",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",23403,"Aribau","0114B0114B","Divendres","2023",9,"Setembre","29","00","Nit","Canvi de carril sense precaució","429551.72 ","4582681.47","2.156224727","41.39073363"
"2023S006650    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",362001,"Vilamarí","0080 0080","Dijous","2023",11,"Novembre","2","12","Matí","Desconegut","428947.83 ","4581402.34","2.149152286","41.379159798"
"2023S000134    ",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",23403,"Aribau","0140 0140","Diumenge","2023",1,"Gener","8","19","Tarda","Manca d'atenció a la conducció","429457.79 ","4582778.44","2.155090022","41.391598768"
"2023S000839    ",2,"Eixample",10,"Sant Antoni",349706,"Comte d'Urgell","0027 0027","Dissabte","2023",2,"Febrer","11","13","Matí","Gir indegut o sense precaució","429898.34 ","4581539.92","2.160502474","41.380482357"
"2023S002944    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",18505,"Aragó","0125 0125","Dimecres","2023",5,"Maig","17","23","Nit","Manca d'atenció a la conducció","429354.29 ","4581928.4 ","2.153951329","41.383933657"
"2023S007064    ",2,"Eixample",10,"Sant Antoni",329902,"Tamarit","0185 0185","Dimarts","2023",11,"Novembre","28","08","Matí","Desconegut","430068.5  ","4581482.33","2.162543925","41.379978477"
"2023S005305    ",2,"Eixample",10,"Sant Antoni",169409,"Corts Catalanes","0538 0538","Dijous","2023",9,"Setembre","7","16","Tarda","No respectat pas de vianants","429841.57 ","4581783.12","2.159795437","41.382667832"
"2023S005459    ",2,"Eixample",10,"Sant Antoni",169409,"Corts Catalanes","0538 0538","Divendres","2023",9,"Setembre","15","12","Matí","Avançament defectuós/improcedent","429829.38 ","4581777.7 ","2.15965029","41.382617952"
"2023S000198    ",2,"Eixample",10,"Sant Antoni",169409,"Corts Catalanes","0540 0542","Dijous","2023",1,"Gener","12","12","Matí","Desobeir semàfor","429834.07 ","4581818.31","2.15970167","41.382984122"
"2023S006186    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",87009,"Comte Borrell","0157 0157","Dijous","2023",10,"Octubre","19","19","Tarda","Manca d'atenció a la conducció","429492.88 ","4581770.11","2.155627125","41.382520155"
"2023S004551    ",2,"Eixample",10,"Sant Antoni",87009,"Comte Borrell","0077 0077","Dijous","2023",7,"Juliol","27","01","Nit","Manca d'atenció a la conducció","429933.23 ","4581333.03","2.160943627","41.378622003"
